Intento,Score,std_dev,Reward_Dist,Reward_Ctrl,Reward_Near_Object,Reward_Contact,Episode_Length,TD_Error,Actor_Loss,Critic_Loss,Policy_Gradients
775,-40.83953880677236,0.2,-0.27087653049558236,-0.06132938271760941,-0.0761894748545317,0.0,100,0.0,0.0,0.0,4.4117027950286865
775,-35.96504273426015,0.2,-0.19397280807457537,-0.06086803541332484,-0.10480958385470128,0.0,100,0.0,0.0,0.0,4.4117027950286865
800,-35.09561209823013,0.2,-0.1952034600696183,-0.08506818901002408,-0.07068447190265885,0.0,100,0.0,0.0,0.0,4.451466093063354
800,-35.34849960196167,0.2,-0.19768568691445806,-0.08182329683005811,-0.07397601227510035,0.0,100,0.0,0.0,0.0,4.451466093063354
800,-39.919874355408695,0.2,-0.23428851101987874,-0.08261692729592324,-0.0822933052382851,0.0,100,0.0,0.0,0.0,4.451466093063354
800,-44.774380506763336,0.2,-0.2855878148383796,-0.09133025270700454,-0.07082573752224912,0.0,100,0.0,0.0,0.0,4.451466093063354
800,-40.45847651811051,0.2,-0.24163482856117735,-0.07400247281789779,-0.08894746380202997,0.0,100,0.0,0.0,0.0,4.451466093063354
825,-34.94203091858708,0.2,-0.20067852921916565,-0.08632005521655083,-0.06242172475015427,0.0,100,0.0,0.0,0.0,4.451415190696716
825,-46.569060150069234,0.2,-0.32290147407287956,-0.07451453444361687,-0.0682745929841958,0.0,100,0.0,0.0,0.0,4.450708870887756
825,-42.89779282296995,0.2,-0.25048334476398704,-0.08386273436620834,-0.0946318490995041,0.0,100,0.0,0.0,0.0,4.450695676803589
825,-40.56333776525638,0.2,-0.2249465603458195,-0.09357189098000529,-0.08711492632673906,0.0,100,0.0,0.0,0.0,4.450695676803589
825,-45.83518028565928,0.2,-0.29623957578548016,-0.08501303666085006,-0.07709919041026264,0.0,100,0.0,0.0,0.0,4.450695676803589
850,-43.565796412106025,0.2,-0.28979897714620506,-0.07514614403247834,-0.07071284294237673,0.0,100,0.0,0.0,0.0,4.450695676803589
850,-40.1484455485242,0.2,-0.2571636243673013,-0.07572455093264581,-0.06859628018529511,0.0,100,0.0,0.0,0.0,4.450695676803589
850,-42.47134103580409,0.2,-0.28310821758418725,-0.06374381705373526,-0.07786137572011852,0.0,100,0.0,0.0,0.0,4.450695676803589
850,-40.50781970904394,0.2,-0.24730475382730574,-0.07157595872879029,-0.0861974845343435,0.0,100,0.0,0.0,0.0,4.450695676803589
850,-44.40688910635345,0.2,-0.26864350771292866,-0.08610549835860731,-0.08931988499199871,0.0,100,0.0,0.0,0.0,4.450695676803589
875,-42.886782094179985,0.2,-0.27668252770626,-0.07768533977866172,-0.074499953456878,0.0,100,0.0,0.0,0.0,4.450695676803589
875,-43.983124016691484,0.2,-0.2787565015820191,-0.08802974405884743,-0.07304499452604866,0.0,100,0.0,0.0,0.0,4.450695676803589
875,-45.61980327254247,0.2,-0.3125059906105586,-0.0758971394598484,-0.06779490265501766,0.0,100,0.0,0.0,0.0,4.450695676803589
875,-35.40699295184175,0.2,-0.20051858935532568,-0.08367406493425372,-0.06987727522883803,0.0,100,0.0,0.0,0.0,4.450695676803589
875,-37.36153559845908,0.2,-0.22835060086018913,-0.08672795706242323,-0.05853679806197829,0.0,100,0.0,0.0,0.0,4.450695676803589
900,-37.028022241851346,0.2,-0.1924118491885827,-0.10059547157585622,-0.07727290165407469,0.0,100,0.0,0.0,0.0,4.450695676803589
900,-39.104079772452664,0.2,-0.23061587781526474,-0.08790339565277097,-0.0725215242564908,0.0,100,0.0,0.0,0.0,4.450695676803589
900,-34.025397839748734,0.2,-0.18283194150579743,-0.08250986644625664,-0.07491217044543319,0.0,100,0.0,0.0,0.0,4.450695676803589
900,-36.04629435816914,0.2,-0.21859869780834504,-0.07812452659010888,-0.06373971918323763,0.0,100,0.0,0.0,0.0,4.450695676803589
900,-38.8005233613928,0.2,-0.2274179408725652,-0.08243863847851753,-0.07814865426284534,0.0,100,0.0,0.0,0.0,4.450695676803589
925,-43.151964513316244,0.2,-0.2857539861384594,-0.07940028329193592,-0.06636537570276702,0.0,100,0.0,0.0,0.0,4.450695676803589
925,-49.0009940868034,0.2,-0.33897350075185906,-0.07507266834750771,-0.07596377176866762,0.0,100,0.0,0.0,0.0,4.450695676803589
925,-39.89839649974463,0.2,-0.24609183447364333,-0.06479535640031099,-0.08809677412349179,0.0,100,0.0,0.0,0.0,4.450695676803589
925,-40.9915042970729,0.2,-0.2449030190616264,-0.07688673388957977,-0.08812529001952289,0.0,100,0.0,0.0,0.0,4.450695676803589
925,-39.02673126892926,0.2,-0.23338815132530752,-0.08823305147141218,-0.06864610989257289,0.0,100,0.0,0.0,0.0,4.450695676803589
950,-35.8909574464555,0.2,-0.1787080497563884,-0.07648908255994319,-0.10371244214822335,0.0,100,0.0,0.0,0.0,4.450695676803589
950,-43.1583688763267,0.2,-0.2753501264577952,-0.08213819304853677,-0.07409536925693494,0.0,100,0.0,0.0,0.0,4.450695676803589
950,-35.86144986604367,0.2,-0.1999341471625059,-0.07594197671115399,-0.08273837478677656,0.0,100,0.0,0.0,0.0,4.450695676803589
950,-34.27550600230243,0.2,-0.1949610098360226,-0.06491604623198509,-0.08287800395501645,0.0,100,0.0,0.0,0.0,4.450695676803589
950,-31.597446588286658,0.2,-0.18479949270808152,-0.053662782821804283,-0.07751219035298078,0.0,100,0.0,0.0,0.0,4.450695676803589
975,-48.62970880726612,0.2,-0.32201378467523234,-0.08645870983600616,-0.07782459356142261,0.0,100,0.0,0.0,0.0,4.450695676803589
975,-44.98364919844056,0.2,-0.28283695502964823,-0.08367347407341004,-0.08332606288134746,0.0,100,0.0,0.0,0.0,4.450695676803589
